Aqi_val,created
77,2020-03-25T17:01:23.842Z
83,2020-03-25T18:01:23.808Z
94,2020-03-25T19:01:52.951Z
90,2020-03-25T20:01:53.023Z
64,2020-03-25T21:01:53.018Z
61,2020-03-25T22:01:53.094Z
57,2020-03-25T23:01:53.085Z
71,2020-03-26T00:01:53.096Z
57,2020-03-26T01:01:53.123Z
53,2020-03-26T02:01:53.155Z
53,2020-03-26T03:01:53.184Z
55,2020-03-26T04:01:53.205Z
60,2020-03-26T05:01:53.244Z
61,2020-03-26T06:01:53.243Z
68,2020-03-26T07:01:53.255Z
77,2020-03-26T08:01:05.426Z
73,2020-03-26T09:01:05.457Z
72,2020-03-26T10:01:05.515Z
61,2020-03-26T11:00:07.824Z
80,2020-03-26T12:00:07.808Z
78,2020-03-26T13:00:07.862Z
45,2020-03-26T14:00:08.412Z
56,2020-03-26T15:01:40.935Z
68,2020-03-26T16:01:40.924Z
51,2020-03-26T17:01:41.019Z
60,2020-03-26T18:01:41.020Z
99,2020-03-26T19:01:41.050Z
129,2020-03-26T20:01:41.042Z
127,2020-03-26T21:01:41.086Z
98,2020-03-26T22:01:41.097Z
90,2020-03-26T23:01:41.116Z
85,2020-03-27T00:01:41.178Z
86,2020-03-27T01:01:41.202Z
56,2020-03-27T02:01:57.375Z
67,2020-03-27T03:01:57.407Z
37,2020-03-27T04:01:57.414Z
13,2020-03-27T05:01:57.483Z
24,2020-03-27T06:01:57.464Z
48,2020-03-27T07:01:57.512Z
62,2020-03-27T08:01:57.517Z
58,2020-03-27T09:01:57.552Z
53,2020-03-27T10:01:57.576Z
58,2020-03-27T11:01:57.584Z
66,2020-03-27T12:01:57.646Z
63,2020-03-27T13:01:57.677Z
46,2020-03-27T14:01:57.722Z
49,2020-03-27T15:01:57.722Z
42,2020-03-27T16:01:57.735Z
46,2020-03-27T17:01:57.775Z
46,2020-03-27T18:01:57.835Z
37,2020-03-27T19:01:57.832Z
41,2020-03-27T20:01:57.874Z
43,2020-03-27T21:01:57.931Z
47,2020-03-27T22:01:57.895Z
53,2020-03-27T23:01:57.850Z
66,2020-03-28T00:18:00.106Z
74,2020-03-28T01:00:00.190Z
70,2020-03-28T02:00:00.182Z
84,2020-03-28T03:00:00.243Z
84,2020-03-28T04:00:00.251Z
91,2020-03-28T05:00:00.300Z
94,2020-03-28T06:00:12.452Z
101,2020-03-28T07:00:12.524Z
101,2020-03-28T08:00:12.496Z
80,2020-03-28T09:00:12.544Z
71,2020-03-28T10:00:12.563Z
69,2020-03-28T11:00:12.617Z
78,2020-03-28T12:00:56.088Z
70,2020-03-28T13:00:56.066Z
68,2020-03-28T14:00:56.139Z
67,2020-03-28T15:00:56.165Z
68,2020-03-28T16:00:56.236Z
63,2020-03-28T17:00:56.263Z
81,2020-03-28T18:00:56.260Z
83,2020-03-28T19:00:56.282Z
78,2020-03-28T20:00:56.332Z
76,2020-03-28T21:00:56.360Z
78,2020-03-28T22:00:56.421Z
83,2020-03-28T23:00:56.437Z
76,2020-03-29T00:00:56.452Z
83,2020-03-29T01:00:56.509Z
77,2020-03-29T02:00:56.450Z
87,2020-03-29T03:00:56.551Z
105,2020-03-29T04:00:56.527Z
93,2020-03-29T05:00:56.607Z
112,2020-03-29T06:00:56.608Z
105,2020-03-29T07:00:57.141Z
106,2020-03-29T08:00:56.694Z
124,2020-03-29T09:00:56.730Z
75,2020-03-29T10:00:56.720Z
65,2020-03-29T11:00:56.757Z
70,2020-03-29T12:00:56.776Z
98,2020-03-29T13:00:56.843Z
75,2020-03-29T14:00:56.895Z
69,2020-03-29T15:00:56.965Z
62,2020-03-29T16:00:56.941Z
60,2020-03-29T17:00:56.967Z
59,2020-03-29T18:00:56.993Z
70,2020-03-29T19:00:57.008Z
73,2020-03-29T20:00:57.034Z
80,2020-03-29T21:00:57.093Z
67,2020-03-29T22:01:04.998Z
59,2020-03-29T23:01:05.050Z
60,2020-03-30T00:01:05.079Z
66,2020-03-30T01:01:05.108Z
62,2020-03-30T02:01:05.100Z
69,2020-03-30T03:01:05.132Z
70,2020-03-30T04:01:05.184Z
70,2020-03-30T05:01:05.218Z
96,2020-03-30T06:01:05.197Z
137,2020-03-30T07:01:05.242Z
135,2020-03-30T08:01:05.255Z
105,2020-03-30T09:01:05.278Z
